RANKÊ,Name,One Putt %
1,Michael Kim,66.67
2,Anirban Lahiri,55.56
3,Harold Varner III,54.86
4,Adam Long,54.63
5,Lucas Herbert,52.78
5,Stephan Jaeger,52.78
5,Mark Hubbard,52.78
8,Jim Knous,51.39
9,Nick Taylor,50.93
10,Brian Gay,50
10,Zach Johnson,50
10,Joshua Creel,50
10,Troy Merritt,50
10,Grant Hirschman,50
15,C.T. Pan,47.92
16,Peter Uihlein,47.22
16,Jamie Lovemark,47.22
16,Sean O'Hair,47.22
16,Carlos Ortiz,47.22
16,Joel Dahmen,47.22
16,Bo Hoag,47.22
16,Max Homa,47.22
16,Talor Gooch,47.22
16,Cameron Young,47.22
16,Andy Ogletree,47.22
16,Hank Lebioda,47.22
27,Aaron Wise,45.83
27,Corey Conners,45.83
27,Hudson Swafford,45.83
27,Matt Kuchar,45.83
27,Jimmy Walker,45.83
27,Marc Leishman,45.83
27,Kyle Reifers,45.83
34,Scott Stallings,45.37
34,Adam Hadwin,45.37
34,Denny McCarthy,45.37
37,Nate Lashley,45.14
38,Seamus Power,44.44
38,Martin Laird,44.44
38,Aaron Baddeley,44.44
38,Sergio Garcia,44.44
38,Curtis Thompson,44.44
38,Rory Sabbatini,44.44
38,Jonathan Byrd,44.44
38,Cameron Tringale,44.44
38,Roger Sloan,44.44
38,Hideki Matsuyama,44.44
38,Kevin Tway,44.44
38,Sungjae Im,44.44
38,Kevin Yu,44.44
38,Tom Hoge,44.44
38,Kelly Kraft,44.44
38,Maverick McNealy,44.44
38,Jon Rahm,44.44
38,Greyson Sigg,44.44
38,Davis Thompson,44.44
38,Matthew Wolff,44.44
58,Michael Thompson,43.75
59,Brandon Hagy,43.52
59,Trey Mullinax,43.52
61,Brian Stuard,43.06
61,Chase Seiffert,43.06
61,Phil Mickelson,43.06
61,Cameron Percy,43.06
61,Nick Watney,43.06
61,Seung-Yul Noh,43.06
61,Webb Simpson,43.06
68,Scott Gutschewski,42.59
68,Tyler Duncan,42.59
68,John Huh,42.59
71,Taylor Pendrith,42.36
71,Sung Kang,42.36
73,Camilo Villegas,41.67
73,Sam Saunders,41.67
73,Brendon Todd,41.67
73,Henrik Norlander,41.67
73,Vaughn Taylor,41.67
73,Kevin Streelman,41.67
73,Scott Piercy,41.67
73,Alex Smalley,41.67
73,Cody Gribble,41.67
73,Martin Trainer,41.67
73,Paul Barjon,41.67
73,Beau Hossler,41.67
73,Mackenzie Hughes,41.67
73,Matthias Schwab,41.67
73,Emiliano Grillo,41.67
73,Patton Kizzire,41.67
73,Kurt Kitayama,41.67
90,Si Woo Kim,40.97
91,Patrick Rodgers,40.74
91,J.J. Spaun,40.74
91,Seth Reeves,40.74
91,Doc Redman,40.74
91,Andrew Novak,40.74
96,Davis Riley,40.28
96,Sam Burns,40.28
96,Max McGreevy,40.28
96,J.T. Poston,40.28
96,Ben Kohles,40.28
96,Sam Ryder,40.28
96,Peter Malnati,40.28
96,Charley Hoffman,40.28
96,Jonas Blixt,40.28
96,Brandt Snedeker,40.28
106,Dawie van der Walt,39.81
106,Bronson Burgoon,39.81
106,Brice Garnett,39.81
106,Chez Reavie,39.81
106,Adam Schenk,39.81
106,John Augenstein,39.81
112,Will Zalatoris,39.58
113,Richy Werenski,38.89
113,Austin Cook,38.89
113,Vincent Whaley,38.89
113,Jason Dufner,38.89
113,"Ted Potter, Jr.",38.89
113,Greg Sonnier,38.89
113,Charles Howell III,38.89
113,Brendan Steele,38.89
113,J.B. Holmes,38.89
113,Keegan Bradley,38.89
113,Andrew Landry,38.89
113,Kris Ventura,38.89
113,Tyler McCumber,38.89
113,Cam Davis,38.89
113,Jared Wolfe,38.89
128,Russell Knox,38.19
128,Sahith Theegala,38.19
130,Doug Ghim,37.96
130,Hayden Buckley,37.96
130,Lanto Griffin,37.96
130,Adam Svensson,37.96
130,William McGirt,37.96
135,Kevin Stadler,37.5
135,Kevin Chappell,37.5
135,Brandon Wu,37.5
135,Eugenio Lopez-Chacarra,37.5
135,Sebasti‡n Mu–oz,37.5
140,Quade Cummins,37.04
140,Andrew Putnam,37.04
142,Harry Higgs,36.11
142,Ben Martin,36.11
142,Luke List,36.11
142,Ryan Armour,36.11
142,Bo Van Pelt,36.11
142,Pat Perez,36.11
142,Turk Pettit,36.11
142,Trevor Werbylo,36.11
142,Cameron Champ,36.11
142,Kramer Hickok,36.11
142,Taylor Moore,36.11
142,Nick Hardy,36.11
154,Wyndham Clark,35.19
154,Dylan Wu,35.19
154,Ryan Moore,35.19
157,Lucas Glover,34.72
157,Jim Herman,34.72
157,Austin Smotherman,34.72
157,Justin Suh,34.72
161,Josh McCarthy,33.33
161,Lee Hodges,33.33
161,Gary Woodland,33.33
161,Kiradech Aphibarnrat,33.33
161,Chris Kirk,33.33
161,Dylan Frittelli,33.33
161,Kyle Stanley,33.33
161,Chris Stroud,33.33
161,Scott Brown,33.33
161,D.J. Trahan,33.33
161,James Hahn,33.33
161,Danny Willett,33.33
161,Chesson Hadley,33.33
161,Justin Lower,33.33
161,David Lipsky,33.33
161,Matthew NeSmith,33.33
161,Keith Mitchell,33.33
178,Joseph Bramlett,32.64
179,Michael Gligic,32.41
179,David Skinns,32.41
179,Chad Ramey,32.41
182,Callum Tarren,31.94
182,Mito Pereira,31.94
182,Sepp Straka,31.94
185,Michael Duncan,30.56
5,Kevin Na,30.56
6,Bill Haas,30.56
7,K.H. Lee,30.56
8,Robert Streb,30.56
5,Brett Drewitt,30.56
5,Aaron Rai,27.78
5,David Hearn,27.78
10,Danny Lee,27.78
11,Cohen Trolio,27.78
10,Matt Wallace,25
