Name,Avg_SG_Putt,Total_SG_Putt
Louis Oosthuizen,0.764,45.852
J.T. Poston,0.706,55.768
Ian Poulter,0.695,38.241
Patrick Reed,0.669,44.154
Zach Johnson,0.667,50.655
Jason Kokrak,0.628,47.696
Rhein Gibson,0.623,23.692
Brendon Todd,0.62,44.025
Sam Burns,0.579,42.298
Cameron Smith,0.573,39.52
Chesson Hadley,0.552,32.024
Harris English,0.544,42.4
Alex Noren,0.538,39.808
Hunter Mahan,0.491,20.14
Mackenzie Hughes,0.483,36.742
Cameron Tringale,0.48,39.393
Xander Schauffele,0.48,30.215
Adam Scott,0.475,28.037
Adam Hadwin,0.471,37.244
Bryson DeChambeau,0.456,30.993
Ben Taylor,0.45,13.958
Kris Ventura,0.435,22.595
Denny McCarthy,0.435,34.828
Webb Simpson,0.435,26.556
Brian Harman,0.432,36.685
Patton Kizzire,0.432,39.347
Hank Lebioda,0.431,23.271
Dustin Johnson,0.429,26.589
Abraham Ancer,0.412,33.367
Patrick Cantlay,0.402,27.349
Brice Garnett,0.396,27.346
Kevin Kisner,0.392,27.071
Jordan Spieth,0.389,28.787
Michael Gligic,0.384,23.054
Lanto Griffin,0.384,30.727
Justin Rose,0.375,15.376
Pat Perez,0.372,29.03
Matt Fitzpatrick,0.367,19.464
Ryan Armour,0.354,23.686
Brandt Snedeker,0.341,24.531
Andrew Putnam,0.335,24.782
Jon Rahm,0.331,21.174
Charley Hoffman,0.33,26.073
Jimmy Walker,0.325,20.479
Rafa Cabrera Bello,0.318,19.079
Aaron Baddeley,0.314,11.316
Joaquin Niemann,0.312,27.795
Austin Cook,0.309,20.106
Vaughn Taylor,0.293,18.137
Sungjae Im,0.292,33.036
Billy Horschel,0.285,19.644
Troy Merritt,0.282,22.57
Mark Hubbard,0.282,25.104
Martin Trainer,0.277,13.283
Matt Jones,0.273,22.931
Harry Higgs,0.243,18.255
Peter Malnati,0.238,15.737
David Hearn,0.232,10.693
Brian Stuard,0.23,20.27
Daniel Berger,0.214,15.593
Beau Hossler,0.206,14.455
Kevin Tway,0.203,10.349
Brian Gay,0.203,12.597
Erik van Rooyen,0.193,13.126
Marc Leishman,0.19,11.953
Rory McIlroy,0.187,11.793
Brooks Koepka,0.187,9.7
Robert Streb,0.179,12.514
Rory Sabbatini,0.176,11.816
Cam Davis,0.173,15.56
Bill Haas,0.17,5.268
Seamus Power,0.168,7.048
Vincent Whaley,0.166,9.6
James Hahn,0.165,10.243
Nick Taylor,0.165,13.693
Stewart Cink,0.164,12.79
Branden Grace,0.15,9.462
Adam Long,0.144,10.211
Matthew Wolff,0.141,7.196
Talor Gooch,0.14,11.65
Tyrrell Hatton,0.138,6.47
Adam Schenk,0.137,10.963
Maverick McNealy,0.118,7.766
Charles Howell III,0.114,6.034
Matt Wallace,0.112,4.251
Scott Brown,0.106,6.808
Kevin Na,0.105,8.222
Matt Kuchar,0.104,6.163
Ryan Palmer,0.099,6.608
Sepp Straka,0.092,7.1
Tony Finau,0.09,6.468
Lee Westwood,0.069,3.511
Harold Varner III,0.069,5.49
Richy Werenski,0.068,5.673
Jason Day,0.067,3.727
Michael Thompson,0.062,4.24
Patrick Rodgers,0.062,4.801
Sam Ryder,0.056,3.802
Viktor Hovland,0.054,3.758
Sebastian Cappelen,0.05,1.904
Sebasti‡n Mu–oz,0.047,4.201
Chris Kirk,0.046,3.482
Scott Stallings,0.03,2.031
Justin Thomas,0.026,1.763
Russell Henley,0.025,1.98
Charl Schwartzel,0.025,1.898
Scottie Scheffler,0.023,1.931
Satoshi Kodaira,0.017,1.076
Hudson Swafford,0.001,0.084
Bo Hoag,0,-0.005
Doc Redman,-0.002,-0.11
Corey Conners,-0.008,-0.71
Kevin Streelman,-0.008,-0.632
Rob Oppenheim,-0.014,-0.8
Carlos Ortiz,-0.019,-1.544
Phil Mickelson,-0.032,-1.93
Anirban Lahiri,-0.039,-2.089
Max Homa,-0.043,-2.896
Wyndham Clark,-0.045,-3.208
Keith Mitchell,-0.057,-3.803
Roger Sloan,-0.06,-3.691
Rafael Campos,-0.066,-2.724
Will Zalatoris,-0.066,-4.506
Paul Casey,-0.073,-4.248
Gary Woodland,-0.076,-4.432
Rickie Fowler,-0.091,-5.902
Sung Kang,-0.094,-7.069
Danny Willett,-0.096,-2.692
Emiliano Grillo,-0.104,-7.166
Tom Hoge,-0.106,-9.356
C.T. Pan,-0.108,-6.99
Ben Martin,-0.126,-4.287
Tom Lewis,-0.126,-8.826
Chase Seiffert,-0.131,-7.359
Brendan Steele,-0.131,-8.767
Tommy Fleetwood,-0.137,-6.449
Lucas Glover,-0.141,-11.42
Brandon Hagy,-0.159,-9.232
Michael Kim,-0.161,-8.683
Shane Lowry,-0.162,-10.223
J.B. Holmes,-0.164,-7.233
Scott Harrington,-0.173,-10.894
Luke Donald,-0.176,-7.914
Mark Anderson,-0.179,-6.1
Si Woo Kim,-0.183,-15.196
Jhonattan Vegas,-0.184,-12.316
Josh Teater,-0.193,-6.373
Will Gordon,-0.195,-13.233
Bubba Watson,-0.21,-12.609
Nate Lashley,-0.217,-12.783
Bo Van Pelt,-0.225,-12.374
K.H. Lee,-0.236,-21.913
Kramer Hickok,-0.255,-14.274
Russell Knox,-0.26,-20.761
Andrew Landry,-0.263,-16.043
Sean O'Hair,-0.265,-11.674
Fabi‡n G—mez,-0.266,-9.027
Doug Ghim,-0.269,-19.357
Camilo Villegas,-0.277,-17.974
Ryan Brehm,-0.287,-10.05
Jim Herman,-0.298,-17.599
Robby Shelton,-0.322,-22.87
Martin Laird,-0.343,-23.677
Joel Dahmen,-0.344,-22.697
Chris Baker,-0.35,-13.29
Cameron Percy,-0.352,-21.1
Matthew NeSmith,-0.377,-30.161
Nelson Ledesma,-0.386,-13.521
Jason Dufner,-0.392,-28.99
Bronson Burgoon,-0.396,-22.197
Xinjun Zhang,-0.397,-19.849
J.J. Spaun,-0.398,-20.686
Sergio Garcia,-0.409,-27.81
Aaron Wise,-0.432,-30.274
Hideki Matsuyama,-0.433,-36.371
Henrik Norlander,-0.442,-33.166
Chez Reavie,-0.445,-31.583
Collin Morikawa,-0.457,-30.151
Nick Watney,-0.458,-19.25
Dylan Frittelli,-0.47,-28.196
Tyler Duncan,-0.472,-35.873
Scott Piercy,-0.482,-32.78
"Ted Potter, Jr.",-0.495,-28.711
K.J. Choi,-0.507,-21.796
Danny Lee,-0.538,-30.683
Keegan Bradley,-0.548,-42.777
D.J. Trahan,-0.564,-25.958
Cameron Champ,-0.608,-39.52
Luke List,-0.626,-46.952
John Huh,-0.639,-32.612
Tyler McCumber,-0.681,-36.76
Kyle Stanley,-0.712,-52.665
Joseph Bramlett,-0.724,-40.569
Michael Gellerman,-0.771,-23.893
Byeong Hun An,-0.867,-60.672
Grayson Murray,-1.261,-45.409
