Name,Avg_SG_Tee,Total_SG_Tee
Bryson DeChambeau,1.162,78.987
Jon Rahm,0.834,53.366
Sergio Garcia,0.796,54.102
Rory McIlroy,0.66,41.575
Viktor Hovland,0.656,45.929
Jhonattan Vegas,0.647,43.372
Brooks Koepka,0.631,32.811
Corey Conners,0.625,52.463
Bubba Watson,0.613,36.782
Cameron Champ,0.593,38.56
Keith Mitchell,0.57,38.192
Patrick Cantlay,0.569,38.689
Luke List,0.557,41.781
Joaquin Niemann,0.556,49.477
Matt Fitzpatrick,0.539,28.575
Sungjae Im,0.526,59.481
Scottie Scheffler,0.515,43.256
Charles Howell III,0.505,26.78
Jason Day,0.442,24.769
Emiliano Grillo,0.368,25.391
Dustin Johnson,0.361,22.379
Tom Lewis,0.358,25.07
Jason Kokrak,0.352,26.782
Abraham Ancer,0.35,28.361
Charley Hoffman,0.341,26.919
Jim Herman,0.336,19.804
Brandon Hagy,0.33,19.135
Keegan Bradley,0.327,25.519
Chris Baker,0.322,12.229
Tyrrell Hatton,0.322,15.145
Will Zalatoris,0.319,21.686
Cam Davis,0.312,28.036
Patrick Rodgers,0.305,23.778
Tyler McCumber,0.29,15.662
Billy Horschel,0.289,19.956
Collin Morikawa,0.281,18.534
Tony Finau,0.281,20.208
Anirban Lahiri,0.28,15.128
Maverick McNealy,0.271,17.874
Will Gordon,0.268,18.203
Xander Schauffele,0.266,16.787
Daniel Berger,0.264,19.245
Paul Casey,0.258,14.95
Sam Burns,0.257,18.794
Doug Ghim,0.252,18.177
Aaron Wise,0.249,17.406
Carlos Ortiz,0.246,20.449
Kyle Stanley,0.244,18.091
Ryan Palmer,0.242,16.209
Hideki Matsuyama,0.24,20.189
Ryan Brehm,0.237,8.291
Justin Thomas,0.235,15.961
Joseph Bramlett,0.224,12.568
Si Woo Kim,0.223,18.522
Joel Dahmen,0.214,14.109
Rafael Campos,0.21,8.606
Kevin Streelman,0.196,16.443
Lucas Glover,0.185,14.993
J.J. Spaun,0.178,9.253
K.H. Lee,0.172,15.978
Vincent Whaley,0.168,9.722
Roger Sloan,0.166,10.313
Jason Dufner,0.165,12.222
Brice Garnett,0.161,11.137
Adam Schenk,0.159,12.743
Chez Reavie,0.155,10.97
Danny Lee,0.154,8.792
Henrik Norlander,0.152,11.424
John Huh,0.147,7.475
Bo Hoag,0.141,10.594
Ben Martin,0.138,4.679
Tyler Duncan,0.136,10.3
Brian Harman,0.133,11.294
Sebasti‡n Mu–oz,0.13,11.577
Erik van Rooyen,0.126,8.594
Brendan Steele,0.126,8.429
Matt Jones,0.124,10.43
Max Homa,0.122,8.171
Chris Kirk,0.119,8.913
Kramer Hickok,0.117,6.566
Martin Laird,0.117,8.074
Shane Lowry,0.112,7.034
Adam Long,0.109,7.765
Matt Wallace,0.106,4.021
Hunter Mahan,0.105,4.303
Harold Varner III,0.104,8.252
Satoshi Kodaira,0.101,6.249
Rickie Fowler,0.096,6.245
Scott Piercy,0.09,6.136
James Hahn,0.079,4.917
Harris English,0.076,5.935
Sepp Straka,0.073,5.645
Russell Henley,0.071,5.542
Webb Simpson,0.071,4.337
Beau Hossler,0.059,4.095
Scott Harrington,0.057,3.622
Lee Westwood,0.055,2.8
Hudson Swafford,0.052,3.441
Dylan Frittelli,0.029,1.726
Scott Stallings,0.024,1.615
Louis Oosthuizen,0.023,1.368
Chase Seiffert,0.021,1.165
Lanto Griffin,0.019,1.542
Russell Knox,0.018,1.424
Nick Taylor,0.015,1.232
Bronson Burgoon,0.015,0.841
Ryan Armour,0.013,0.878
Seamus Power,0.012,0.501
Matthew NeSmith,0.012,0.928
Michael Gellerman,0.012,0.38
Byeong Hun An,0.008,0.592
