Name,Round,DrivingAvg,TotalDistance
Matthew Wolff,8,336,"5,376"
Cameron Young,8,329.7,"5,275"
Joseph Bramlett,12,327,"7,849"
Wyndham Clark,14,325.4,"6,507"
Kevin Tway,8,325.2,"5,203"
Trey Mullinax,10,323.6,"6,472"
Luke List,14,322.6,"6,451"
Byeong Hun An,4,322.4,"2,579"
Xander Schauffele,8,322.1,"2,577"
Tyler McCumber,10,321.6,"3,859"
Rickie Fowler,10,321.6,"3,859"
Eugenio Lopez-Chacarra,4,321.5,"2,572"
Rory McIlroy,4,321.1,"2,569"
Brooks Koepka,8,320.9,"5,134"
Jhonattan Vegas,8,320.1,"2,561"
Erik van Rooyen,10,319.7,"3,836"
Will Zalatoris,14,319,"6,379"
Matt Jones,12,318.8,"5,100"
Ryan Palmer,6,318.8,"1,275"
Shane Lowry,4,318.4,"2,547"
Adam Scott,8,318.3,"5,092"
Taylor Pendrith,16,317.8,"10,169"
Davis Thompson,4,317.3,"2,538"
Justin Thomas,4,316.5,"2,532"
Joaquin Niemann,12,316.4,"5,062"
Jared Wolfe,6,316.1,"3,793"
Harry Hall,6,316.1,"3,793"
Jordan Spieth,4,315.9,"2,527"
Jason Kokrak,6,315.9,"3,791"
Maverick McNealy,14,315.8,"6,315"
Viktor Hovland,8,315.5,"5,048"
Gary Woodland,6,315.4,"3,785"
Marc Leishman,12,314.5,"7,549"
Sergio Garcia,6,314.4,"3,773"
Matt Wallace,10,314.3,"3,772"
Dustin Johnson,4,314.1,"2,513"
Brendan Steele,14,313.9,"6,277"
Keegan Bradley,10,313.8,"3,765"
Kyle Reifers,4,313.6,"2,509"
Martin Laird,6,313.6,"3,763"
Carlos Ortiz,12,313.5,"6,270"
Charley Hoffman,20,313.3,"10,025"
Quade Cummins,6,313.3,"3,760"
Hideki Matsuyama,16,313.2,"7,516"
Brandon Hagy,18,313,"8,765"
Scottie Scheffler,6,312.7,"3,752"
Harold Varner III,12,312.7,"7,504"
Andy Ogletree,4,312.5,"2,500"
Rasmus Hojgaard,6,312.3,"3,748"
Keith Mitchell,8,312.3,"4,996"
Scott Piercy,8,312.2,"4,995"
Tyrrell Hatton,4,312.1,"2,497"
Bronson Burgoon,8,312,"4,992"
J.T. Poston,6,312,"3,744"
Callum Tarren,5,311.9,"3,119"
Kevin Yu,6,311.8,"3,741"
Adam Schenk,14,311.6,"6,231"
Jimmy Walker,8,311.6,"4,986"
Cameron Tringale,20,311.5,"9,967"
Talor Gooch,12,311.3,"7,471"
Cam Davis,10,311.1,"6,222"
Aaron Wise,12,311,"7,465"
Tony Finau,4,311,"2,488"
Kyle Stanley,8,310.4,"2,483"
Sam Burns,12,310.3,"7,447"
Paul Barjon,8,310.1,"4,961"
Seonghyeon Kim,4,310,"2,480"
Emiliano Grillo,18,310,"8,680"
Bo Van Pelt,4,310,"2,480"
Louis Oosthuizen,8,309.9,"4,959"
Alex Noren,8,309.6,"2,477"
Chesson Hadley,14,309.6,"6,191"
Lanto Griffin,14,309.5,"6,189"
Nate Lashley,12,309.5,"7,429"
Taylor Moore,10,309.4,"6,187"
Max Homa,8,309.4,"4,951"
Bill Haas,12,309.1,"4,946"
John Augenstein,6,309,"3,708"
Kevin Kisner,6,308.5,"3,702"
Sungjae Im,12,308.3,"7,400"
Justin Rose,4,308.1,"2,465"
Kevin Streelman,12,307.8,"7,388"
Hudson Swafford,12,307.4,"7,377"
Corey Conners,8,307.3,"4,917"
Sanghun Shin,4,307,"2,456"
Kevin Chappell,6,307,"3,684"
Si Woo Kim,18,306.7,"8,588"
K.H. Lee,14,306.1,"6,121"
Mito Pereira,16,305.9,"9,788"
Austin Smotherman,6,305.8,"3,670"
Robert Streb,14,305.8,"6,115"
Paul Casey,6,305.5,"3,666"
Tommy Fleetwood,8,305.4,"2,443"
Michael Gligic,6,305.3,"3,664"
Davis Riley,12,305.3,"7,326"
Tom Hoge,18,305.2,"8,546"
Dylan Frittelli,12,304.9,"7,318"
Joel Dahmen,8,304.9,"4,879"
Peter Uihlein,8,304.6,"4,873"
James Hahn,8,304.5,"2,436"
Jaekyeong Lee,4,304.5,"2,436"
Collin Morikawa,8,304.1,"2,433"
C.T. Pan,12,304.1,"4,866"
Roger Sloan,12,304,"4,864"
Charles Howell III,6,304,"3,648"
Charl Schwartzel,6,303.8,"3,646"
Hanbyeol Kim,4,303.8,"2,430"
Lucas Glover,12,303.4,"7,282"
Martin Trainer,8,303.3,"4,852"
Francesco Molinari,4,302.9,"2,423"
Patton Kizzire,12,302.9,"7,269"
Jim Herman,6,302.8,"3,633"
Harry Higgs,14,302.6,"6,052"
Russell Henley,8,302.6,"4,841"
Stewart Cink,6,302.6,"3,631"
Yoseop Seo,4,302.5,"2,420"
Doug Ghim,14,302.5,"6,049"
Beau Hossler,6,302.2,"3,626"
Abraham Ancer,6,302.1,"3,625"
Seth Reeves,12,301.9,"7,246"
Nick Watney,16,301.7,"9,653"
Sebasti‡n Mu–oz,14,301.5,"6,030"
Alex Smalley,14,301.5,"8,443"
Sahith Theegala,14,301.4,"8,439"
Sung Kang,20,301.2,"9,639"
Hayden Buckley,14,300.9,"8,426"
Nick Hardy,10,300.9,"6,017"
Sam Ryder,14,300.8,"6,015"
Ian Poulter,6,300.8,"3,610"
Chris Kirk,12,300,"4,800"
John Huh,6,299.8,"3,597"
Tyler Duncan,6,299.8,"3,597"
Kurt Kitayama,10,299.7,"5,994"
Adam Long,12,299.7,"4,795"
Patrick Rodgers,10,299.6,"5,992"
Jonas Blixt,8,299.4,"4,790"
Mackenzie Hughes,12,299.3,"4,789"
Brice Garnett,8,299.3,"4,789"
Matthew NeSmith,16,299.3,"7,182"
Doc Redman,12,299.2,"4,787"
Andrew Landry,8,299.2,"4,787"
Webb Simpson,10,299.2,"5,983"
Nick Taylor,12,298.5,"7,165"
Cameron Smith,4,298.4,"2,387"
Lucas Herbert,8,298.3,"4,772"
Justin Suh,4,298.3,"2,386"
Jason Day,4,298,"2,384"
Harris English,5,297.8,"2,978"
Seung-Yul Noh,9,297.4,"5,353"
Curtis Thompson,10,297.4,"5,947"
Lee Hodges,14,297.4,"8,327"
Brian Harman,6,297.3,"3,568"
Sepp Straka,14,297.2,"5,944"
Andrew Putnam,14,297.1,"5,942"
Henrik Norlander,12,297.1,"4,753"
Troy Merritt,10,296.7,"3,560"
Joohyung Kim,4,296.6,"2,373"
Scott Gutschewski,10,296.5,"5,930"
Hank Lebioda,6,295.8,"3,550"
David Lipsky,8,295.6,"4,730"
Thomas Detry,4,295.5,"2,364"
Zach Johnson,4,295.3,"2,362"
Aaron Baddeley,4,295.3,"2,362"
Kevin Na,6,295.2,"3,542"
Peter Malnati,18,295.1,"8,264"
Scott Stallings,12,295,"7,080"
Rory Sabbatini,6,294.9,"3,539"
David Skinns,10,294.8,"5,896"
Garrick Higgo,10,294.1,"3,529"
Matt Kuchar,8,294,"4,704"
Russell Knox,14,293.9,"8,229"
Austin Cook,10,293.9,"5,878"
Kelly Kraft,5,293.8,"2,938"
Brandt Snedeker,6,293.8,"3,526"
Ryan Moore,8,293.5,"4,696"
Greyson Sigg,14,293.2,"8,209"
Chez Reavie,8,293.1,"4,689"
Seamus Power,10,293,"5,860"
Branden Grace,8,292.9,"2,343"
Danny Willett,8,292.9,"4,686"
Ludvig Aberg,4,292.4,"2,339"
Adam Hadwin,14,292.3,"8,185"
Anirban Lahiri,8,292.1,"4,673"
Brandon Wu,10,291.1,"5,822"
Chad Ramey,14,290.9,"8,146"
William McGirt,8,290.9,"4,655"
Joshua Creel,4,290.6,"2,325"
Adam Svensson,12,290.5,"6,972"
Vincent Whaley,10,290.2,"5,803"
Dawie van der Walt,8,289.9,"4,639"
Pat Perez,7,289.5,"1,737"
Camilo Villegas,10,289,"5,779"
Phil Mickelson,4,288.8,"2,310"
Kiradech Aphibarnrat,8,288.8,"4,621"
Danny Lee,6,288.8,"3,465"
Richy Werenski,6,288.5,"3,462"
J.J. Spaun,14,288.4,"8,076"
Michael Thompson,12,288.4,"6,922"
Minkyu Kim,4,288.3,"2,306"
Patrick Reed,10,287.7,"5,754"
Matthias Schwab,6,287.4,"3,449"
Brett Drewitt,8,286.9,"4,590"
Grant Hirschman,4,286.6,"2,293"
Dylan Wu,10,285.9,"5,717"
Stephan Jaeger,12,285.8,"6,859"
Jim Knous,8,285.6,"4,570"
Denny McCarthy,12,285.6,"6,855"
Chase Seiffert,8,285.4,"4,566"
Cameron Percy,6,285.4,"3,425"
Bo Hoag,4,285.3,"2,282"
Max McGreevy,8,285.3,"4,565"
Aaron Rai,10,285.2,"5,704"
Andrew Novak,8,284.1,"4,546"
Jason Dufner,6,284,"3,408"
Chris Stroud,4,282.9,"2,263"
Brendon Todd,10,282.5,"3,390"
Robert Garrigus,4,282.4,"2,259"
Sean O'Hair,8,281.8,"4,509"
Justin Lower,6,281.8,"3,382"
Ryan Armour,10,281.6,"5,631"
Ben Martin,6,280.8,"3,369"
Michael Kim,3,280.8,"1,685"
Kramer Hickok,12,279.9,"4,478"
Mark Hubbard,12,279.8,"6,714"
Brian Stuard,8,279.6,"4,474"
Austin Eckroat,4,279.4,"2,235"
Guido Migliozzi,4,279.1,"2,233"
Ben Kohles,8,278.6,"4,458"
Vaughn Taylor,6,277.5,"3,330"
Jonathan Byrd,6,277.5,"3,330"
Christiaan Bezuidenhout,4,275.5,"2,204"
Brian Gay,9,274.6,"4,943"
Kevin Stadler,6,274.5,"3,294"
Scott Brown,6,274.1,"3,289"
Graeme McDowell,8,273.6,"4,378"
"Ted Potter, Jr.",4,272,"2,176"
Johnson Wagner,4,270.3,"2,162"
Sangmoon Bae,4,267.6,"2,141"
Kyle Wilshire,4,265.6,"2,125"
John Merrick,4,265.3,"2,122"
Patrick Flavin,4,264.5,"2,116"
David Hearn,6,264,"3,168"
John Senden,4,263.6,"2,109"
Ben Crane,4,260.6,"2,085"
Matt Fitzpatrick,4,259,"2,072"
Luke Donald,4,256.1,"2,049"
D.A. Points,4,254.9,"2,039"
David Lingmerth,4,251.6,"2,013"
Arjun Atwal,4,249.5,"1,996"
