Name,Longest_Drive
Joaquin Niemann,412
Beau Hossler,397
Dustin Johnson,393
Viktor Hovland,390
Joseph Bramlett,386
J.B. Holmes,386
Jason Kokrak,384
Will Zalatoris,382
Cam Davis,381
Marc Leishman,381
Scott Stallings,380
Chesson Hadley,380
Taylor Pendrith,379
Harry Hall,379
Charley Hoffman,379
Luke List,378
Dylan Frittelli,378
Brandon Hagy,376
Cameron Young,375
Patrick Rodgers,375
Hudson Swafford,375
Jin Jeong,375
Matt Jones,375
Scott Piercy,375
Mito Pereira,373
Xander Schauffele,372
Sung Kang,372
Wyndham Clark,371
Austin Smotherman,371
Seonghyeon Kim,371
Kevin Yu,371
Turk Pettit,371
Hayden Buckley,369
Matthew Wolff,369
Maverick McNealy,369
Brendan Steele,369
Andrew Landry,369
Gary Woodland,369
Emiliano Grillo,369
Sam Burns,368
Kurt Kitayama,368
Eugenio Lopez-Chacarra,368
Hanbyeol Kim,367
Patrick Reed,367
Carlos Ortiz,366
Jared Wolfe,366
Corey Conners,366
Hideki Matsuyama,366
Kevin Tway,366
Phil Mickelson,365
Tyler McCumber,365
Brooks Koepka,365
Talor Gooch,364
Patton Kizzire,364
Nate Lashley,364
Peter Uihlein,363
Aaron Wise,363
Keith Mitchell,363
J.J. Spaun,362
Harold Varner III,362
Erik van Rooyen,362
Max Homa,361
Aaron Rai,361
Bronson Burgoon,361
Chris Stroud,361
Nick Taylor,361
Nick Watney,361
Kyle Reifers,360
Rory McIlroy,360
Rasmus Hojgaard,360
Robert Streb,360
Martin Trainer,360
Harry Higgs,359
Trey Mullinax,359
Louis Oosthuizen,359
Adam Scott,359
Quade Cummins,359
Bill Haas,358
Sergio Garcia,358
Branden Grace,358
Greyson Sigg,358
Lee Hodges,357
Cameron Tringale,357
Andrew Putnam,357
Peter Malnati,356
Adam Svensson,356
Justin Lower,356
Kevin Streelman,356
Kris Ventura,355
David Lipsky,354
Sungjae Im,354
Stephan Jaeger,354
Si Woo Kim,354
Doug Ghim,354
Rickie Fowler,354
Paul Casey,354
Michael Duncan,354
Garrick Higgo,353
Francesco Molinari,353
Jhonattan Vegas,353
Justin Rose,353
Brice Garnett,353
Austin Cook,353
Abraham Ancer,353
Sepp Straka,353
Matt Wallace,353
Justin Thomas,353
Mackenzie Hughes,352
Sam Ryder,352
Adam Schenk,352
Cameron Champ,352
Dawie van der Walt,352
Alex Noren,352
Jimmy Walker,352
Matt Kuchar,351
John Augenstein,351
Alex Smalley,351
John Huh,351
Adam Long,350
Tyrrell Hatton,350
Jordan Spieth,350
Seth Reeves,350
Justin Suh,350
Charles Howell III,350
C.T. Pan,350
Michael Gligic,350
K.H. Lee,349
Tony Finau,349
"Ted Potter, Jr.",349
Scott Gutschewski,349
Kevin Stadler,349
Dylan Wu,349
Richy Werenski,349
Joel Dahmen,349
Tom Hoge,349
Paul Barjon,349
Lanto Griffin,348
Scottie Scheffler,348
Davis Riley,348
Camilo Villegas,348
Jonas Blixt,348
Tommy Fleetwood,348
Trevor Werbylo,348
James Hahn,347
Jaekyeong Lee,347
Minkyu Kim,347
Byeong Hun An,347
Chase Seiffert,347
Harris English,346
Callum Tarren,346
Shane Lowry,346
Charl Schwartzel,346
Ryan Palmer,345
Danny Willett,345
Michael Thompson,345
Martin Laird,345
Jesse Mueller,345
Sebasti‡n Mu–oz,345
Cameron Smith,345
Russell Henley,344
Lucas Herbert,344
Jim Knous,344
Matthew NeSmith,344
Nick Hardy,344
Taylor Moore,344
Collin Morikawa,344
Seung-Yul Noh,344
Anirban Lahiri,344
Kevin Chappell,344
Aaron Baddeley,344
Ian Poulter,344
Stewart Cink,344
Ben Martin,343
Sahith Theegala,343
Sanghun Shin,343
Doc Redman,343
Davis Thompson,343
Kyle Westmoreland,342
J.T. Poston,342
Keegan Bradley,342
Ryan Armour,342
Jason Dufner,342
Zach Johnson,341
Kiradech Aphibarnrat,341
Brandt Snedeker,341
Seamus Power,341
Roger Sloan,341
Ben Kohles,341
Joshua Creel,341
Chad Ramey,341
Joohyung Kim,340
D.J. Trahan,340
Bo Van Pelt,340
Lucas Glover,340
Rory Sabbatini,339
Ludvig Aberg,339
Tyler Duncan,339
Brett Drewitt,339
Mark Hubbard,338
Brandon Wu,338
Curtis Thompson,338
Kevin Kisner,338
Troy Merritt,338
Jim Herman,337
Cameron Percy,337
Vincent Whaley,337
Yoseop Seo,337
Jon Rahm,336
Kevin Na,336
Henrik Norlander,336
Jason Day,336
Brian Stuard,335
Russell Knox,335
Ryan Moore,335
Brian Gay,334
Hank Lebioda,334
Denny McCarthy,334
Chris Kirk,333
Brendon Todd,332
Scott Brown,332
Sam Saunders,332
Jonathan Byrd,332
Max McGreevy,332
Thomas Detry,332
Brian Harman,331
Kyle Stanley,331
Adam Hadwin,330
Danny Lee,330
Webb Simpson,330
David Skinns,329
Bo Hoag,328
Cody Gribble,328
Andrew Novak,328
Josh McCarthy,327
Andy Ogletree,327
Sean O'Hair,327
Vaughn Taylor,326
Kelly Kraft,326
Robert Garrigus,325
Chez Reavie,325
Pat Perez,323
Jamie Lovemark,322
William McGirt,322
Guido Migliozzi,321
Kramer Hickok,319
Graeme McDowell,319
Matthias Schwab,318
Michael Kim,315
Austin Eckroat,315
Patrick Flavin,315
Grant Hirschman,313
Greg Sonnier,307
Cohen Trolio,305
Michael Sims,300
David Hearn,299
Jordan Gumberg,298
Luke Donald,295
Christiaan Bezuidenhout,294
Chaka DeSilva,291
John Senden,289
D.A. Points,289
Kyle Wilshire,288
Johnson Wagner,287
Sangmoon Bae,287
Ricky Barnes,286
Tommy Gainey,283
Ted Purdy,282
Camiko Smith,282
Ben Crane,281
Andres Romero,281
J.J. Henry,280
John Merrick,280
Daniel Chopra,279
Matt Fitzpatrick,279
Jay McLuen,277
Matt Hill,276
Greg Chalmers,275
Arjun Atwal,275
John Pak,274
John Rollins,272
Jason Bohn,269
Erik Barnes,269
David Lingmerth,268
Fabi‡n G—mez,265
Richard Johnson,263
Greg Koch,262
Damian Palanyandi,261
Matt Every,260
Parker McLachlin,253
Brendon de Jonge,246
Olin Browne,243
Brian Morris,235
