Name,Avg_Putts_Rd,Low_Total_Rd
Michael Kim,24.67,22
Patrick Flavin,25.75,23
Grant Hirschman,26,24
Sanghun Shin,26,25
Andy Ogletree,26.25,22
Lucas Herbert,26.38,23
Tyrrell Hatton,26.5,22
Rory McIlroy,26.5,25
Naoto Nakanishi,26.5,21
Brian Gay,26.67,22
Cameron Young,26.88,22
Harold Varner III,27,24
Joshua Creel,27,25
Abraham Ancer,27,24
Webb Simpson,27,24
Dustin Johnson,27,25
Shane Lowry,27,24
Justin Thomas,27,26
Byeong Hun An,27,23
Chase Seiffert,27.13,23
Jim Knous,27.13,22
Stephan Jaeger,27.17,24
Rory Sabbatini,27.17,25
Justin Rose,27.25,21
Marc Leishman,27.25,25
Jordan Spieth,27.25,25
Jinichiro Kozuma,27.25,25
Harry Hall,27.33,26
Max McGreevy,27.38,24
Mackenzie Hughes,27.42,24
Yuki Inamori,27.5,26
Jaekyeong Lee,27.5,27
Joohyung Kim,27.5,25
Shugo Imahira,27.5,23
Danny Lee,27.5,23
Aaron Baddeley,27.5,27
Nate Lashley,27.58,26
Talor Gooch,27.58,24
Tommy Fleetwood,27.63,25
Adam Long,27.67,22
David Lingmerth,27.75,26
Naoyuki Kataoka,27.75,26
Sungjae Im,27.75,25
Takumi Kanaya,27.75,27
Kyle Reifers,27.75,27
Thomas Detry,27.75,25
Troy Merritt,27.8,23
Trey Mullinax,27.8,23
Lanto Griffin,27.86,23
Brooks Koepka,27.88,26
Collin Morikawa,27.88,23
Peter Uihlein,27.88,23
Jonas Blixt,27.88,25
Curtis Thompson,27.9,25
Patrick Reed,27.9,24
Sam Burns,27.92,24
Xander Schauffele,28,26
Aaron Wise,28,25
Matthew Wolff,28,25
Garrick Higgo,28,22
Tom Hoge,28,22
Kelly Kraft,28,26
Adam Schenk,28,23
Max Homa,28,25
Ryuji Imada,28,25
Nick Taylor,28,23
Martin Laird,28,24
John Huh,28,25
Keegan Bradley,28.1,24
Branden Grace,28.13,24
William McGirt,28.13,25
Scott Piercy,28.13,24
Corey Conners,28.13,26
Robert Streb,28.14,22
Mark Hubbard,28.17,25
Tyler Duncan,28.17,25
C.T. Pan,28.17,24
Ben Martin,28.17,24
Michael Thompson,28.17,25
Vincent Whaley,28.2,25
Minkyu Kim,28.25,26
Rikuya Hoshino,28.25,25
Christiaan Bezuidenhout,28.25,25
Ben Kohles,28.25,25
Ryosuke Kinoshita,28.25,24
Roger Sloan,28.25,26
Tony Finau,28.25,24
Anirban Lahiri,28.25,22
Scott Stallings,28.25,21
Jimmy Walker,28.25,26
Johnson Wagner,28.25,24
Sung Kang,28.25,23
Jason Day,28.25,24
