Name,Round,Avg_Score,,,
Collin Morikawa,8,68.917,,,
Matthew Wolff,8,69.144,,,
Rory McIlroy,4,69.318,,,
Sam Burns,12,69.452,,,
Patrick Rodgers,10,69.527,,,
Sungjae Im,12,69.535,,,
Talor Gooch,12,69.547,,,
Rory Sabbatini,6,69.614,,,
Marc Leishman,12,69.797,,,
Matt Fitzpatrick,4,69.822,,,
Brendan Steele,14,69.854,,,
Aaron Wise,12,69.869,,,
Matt Wallace,10,69.875,,,
Seamus Power,10,69.897,,,
Martin Laird,6,69.947,,,
Danny Lee,6,69.975,,,
James Hahn,8,70.009,,,
Henrik Norlander,12,70.018,,,
Tommy Fleetwood,8,70.042,,,
Maverick McNealy,14,70.077,,,
Mito Pereira,16,70.108,,,
Lanto Griffin,14,70.146,,,
Hideki Matsuyama,16,70.164,,,
Lucas Herbert,8,70.192,,,
Mackenzie Hughes,12,70.208,,,
Mark Hubbard,12,70.214,,,
Adam Schenk,14,70.217,,,
Scott Stallings,12,70.226,,,
Matt Jones,12,70.278,,,
Troy Merritt,10,70.28,,,
Adam Scott,8,70.283,,,
Nate Lashley,12,70.287,,,
K.H. Lee,14,70.287,,,
Xander Schauffele,8,70.292,,,
C.T. Pan,12,70.293,,,
Cameron Tringale,20,70.339,,,
Rickie Fowler,10,70.378,,,
Corey Conners,8,70.394,,,
Keegan Bradley,10,70.402,,,
Russell Henley,8,70.408,,,
Luke List,14,70.426,,,
Jonathan Byrd,6,70.475,,,
Nick Watney,16,70.483,,,
Harry Higgs,14,70.492,,,
Hayden Buckley,14,70.5,,,
Tom Hoge,18,70.517,,,
Louis Oosthuizen,8,70.533,,,
Davis Riley,12,70.544,,,
Taylor Pendrith,16,70.546,,,
Harold Varner III,12,70.56,,,
Cameron Smith,4,70.568,,,
Trey Mullinax,10,70.571,,,
Chad Ramey,14,70.571,,,
Adam Hadwin,14,70.571,,,
Luke Donald,4,70.572,,,
Robert Garrigus,4,70.572,,,
Jim Knous,8,70.572,,,
Tyler Duncan,6,70.62,,,
Will Zalatoris,14,70.64,,,
Adam Long,12,70.686,,,
Joaquin Niemann,12,70.694,,,
Brian Gay,9,70.757,,,
Jimmy Walker,8,70.769,,,
Matt Kuchar,8,70.786,,,
Alex Smalley,14,70.786,,,
Chase Seiffert,8,70.822,,,
Johnson Wagner,4,70.822,,,
Andrew Putnam,14,70.86,,,
Taylor Moore,10,70.871,,,
Chris Kirk,12,70.874,,,
Kyle Stanley,8,70.884,,,
Joel Dahmen,8,70.894,,,
Camilo Villegas,10,70.897,,,
Viktor Hovland,8,70.908,,,
Jhonattan Vegas,8,70.917,,,
Sean O'Hair,8,70.947,,,
Peter Uihlein,8,70.947,,,
Seth Reeves,12,70.954,,,
Stephan Jaeger,12,70.954,,,
Justin Lower,6,70.975,,,
Scott Brown,6,70.975,,,
Gary Woodland,6,70.993,,,
Webb Simpson,10,71.001,,,
Wyndham Clark,14,71.003,,,
Cameron Young,8,71.021,,,
Graeme McDowell,8,71.035,,,
Denny McCarthy,12,71.038,,,
Alex Noren,8,71.042,,,
Branden Grace,8,71.042,,,
Nick Hardy,10,71.051,,,
Jordan Spieth,4,71.068,,,
Tyrrell Hatton,4,71.068,,,
Justin Thomas,4,71.068,,,
J.J. Spaun,14,71.071,,,
Christiaan Bezuidenhout,4,71.072,,,
David Lingmerth,4,71.072,,,
Danny Willett,8,71.077,,,
Russell Knox,14,71.084,,,
Curtis Thompson,10,71.098,,,
Peter Malnati,18,71.125,,,
Sam Ryder,14,71.14,,,
Matthias Schwab,6,71.162,,,
Pat Perez,7,71.18,,,
Max Homa,8,71.195,,,
Vincent Whaley,10,71.201,,,
Robert Streb,14,71.216,,,
Beau Hossler,6,71.225,,,
Greyson Sigg,14,71.233,,,
Charley Hoffman,20,71.239,,,
Carlos Ortiz,12,71.241,,,
Ryan Palmer,6,71.252,,,
Dawie van der Walt,8,71.255,,,
Charles Howell III,6,71.26,,,
Satoshi Kodaira,4,71.266,,,
William McGirt,8,71.271,,,
Si Woo Kim,18,71.291,,,
Keith Mitchell,8,71.301,,,
Aaron Baddeley,4,71.323,,,
Phil Mickelson,4,71.323,,,
Scott Gutschewski,10,71.327,,,
Dylan Wu,10,71.327,,,
Sung Kang,20,71.389,,,
Brendon Todd,10,71.404,,,
Roger Sloan,12,71.436,,,
Kevin Streelman,12,71.452,,,
Paul Casey,6,71.453,,,
David Hearn,6,71.475,,,
Ben Martin,6,71.475,,,
Garrick Higgo,10,71.48,,,
Sergio Garcia,6,71.493,,,
Matthew NeSmith,16,71.506,,,
Sahith Theegala,14,71.513,,,
Paul Barjon,8,71.556,,,
Chesson Hadley,14,71.556,,,
Jason Dufner,6,71.558,,,
Sangmoon Bae,4,71.572,,,
Emiliano Grillo,18,71.614,,,
Jim Herman,6,71.623,,,
Kramer Hickok,12,71.633,,,
Ryan Moore,8,71.646,,,
Brandon Hagy,18,71.67,,,
Chez Reavie,8,71.678,,,
Patrick Reed,10,71.7,,,
Austin Cook,10,71.751,,,
Doug Ghim,14,71.77,,,
Lee Hodges,14,71.786,,,
Dylan Frittelli,12,71.788,,,
Brandon Wu,10,71.798,,,
Scott Piercy,8,71.803,,,
Adam Svensson,12,71.809,,,
