Name,Scoring_Avg
Jon Rahm,69.30
Dustin Johnson,69.62
Louis Oosthuizen,69.71
Bryson DeChambeau,69.73
Patrick Cantlay,69.74
Justin Thomas,69.77
Xander Schauffele,69.86
Daniel Berger,69.86
Viktor Hovland,69.89
Webb Simpson,69.90
Brooks Koepka,69.94
Abraham Ancer,69.94
Cameron Smith,69.97
Tony Finau,69.97
Patrick Reed,70.04
Rory McIlroy,70.04
Joaquin Niemann,70.05
Will Zalatoris,70.07
Corey Conners,70.07
Collin Morikawa,70.11
Cameron Tringale,70.11
Harris English,70.12
Russell Henley,70.12
Jordan Spieth,70.12
Brian Harman,70.16
Paul Casey,70.18
Sam Burns,70.18
Ian Poulter,70.22
Tyrrell Hatton,70.25
Sungjae Im,70.28
Shane Lowry,70.32
Charley Hoffman,70.33
Scottie Scheffler,70.33
Emiliano Grillo,70.34
Kevin Streelman,70.34
Jason Kokrak,70.37
Zach Johnson,70.40
Sergio Garcia,70.42
Chris Kirk,70.44
Adam Scott,70.45
Talor Gooch,70.46
Jhonattan Vegas,70.49
Keegan Bradley,70.49
Seamus Power,70.50
Matt Fitzpatrick,70.51
Kevin Na,70.52
Patton Kizzire,70.54
Hideki Matsuyama,70.56
Doug Ghim,70.57
Stewart Cink,70.58
Harold Varner III,70.59
Matt Wallace,70.59
Hank Lebioda,70.64
Matt Jones,70.67
Aaron Wise,70.67
Erik van Rooyen,70.67
Justin Rose,70.68
Pat Perez,70.71
Branden Grace,70.74
Max Homa,70.75
Maverick McNealy,70.76
Cam Davis,70.78
Alex Noren,70.78
Lanto Griffin,70.79
Sepp Straka,70.79
Jason Day,70.82
Charles Howell III,70.82
Brice Garnett,70.82
Brendon Todd,70.84
Lucas Glover,70.86
Roger Sloan,70.87
Bubba Watson,70.87
Si Woo Kim,70.87
James Hahn,70.90
Carlos Ortiz,70.91
Ryan Palmer,70.92
Ryan Armour,70.92
C.T. Pan,70.92
Russell Knox,70.92
Brian Stuard,70.92
Billy Horschel,70.93
Troy Merritt,70.94
Scott Stallings,70.95
Adam Hadwin,70.96
Anirban Lahiri,70.98
Bo Hoag,70.99
Mackenzie Hughes,71.02
Andrew Putnam,71.02
Luke List,71.02
Matthew NeSmith,71.02
Mark Hubbard,71.03
Brandt Snedeker,71.04
Cameron Percy,71.04
Tommy Fleetwood,71.05
Lee Westwood,71.05
Adam Schenk,71.05
Denny McCarthy,71.06
Sebasti‡n Mu–oz,71.07
Chez Reavie,71.08
Charl Schwartzel,71.09
Scott Piercy,71.10
Camilo Villegas,71.11
Doc Redman,71.12
Chase Seiffert,71.13
John Huh,71.13
Chesson Hadley,71.13
Rory Sabbatini,71.14
Patrick Rodgers,71.16
Joel Dahmen,71.16
Danny Willett,71.16
Kyle Stanley,71.17
Kevin Tway,71.18
Kramer Hickok,71.18
Sam Ryder,71.19
Tom Hoge,71.19
Vincent Whaley,71.21
Peter Malnati,71.21
Harry Higgs,71.21
Michael Thompson,71.22
Kevin Kisner,71.22
J.T. Poston,71.22
K.H. Lee,71.23
Matt Kuchar,71.25
Jason Dufner,71.25
Henrik Norlander,71.26
Gary Woodland,71.28
Wyndham Clark,71.28
Keith Mitchell,71.29
Adam Long,71.29
Nate Lashley,71.30
Marc Leishman,71.30
Vaughn Taylor,71.32
Rickie Fowler,71.33
Satoshi Kodaira,71.33
Matthew Wolff,71.33
Bronson Burgoon,71.33
Robert Streb,71.34
Nick Taylor,71.34
Brendan Steele,71.38
Tyler McCumber,71.39
David Hearn,71.40
Tom Lewis,71.44
Dylan Frittelli,71.44
Joseph Bramlett,71.48
Aaron Baddeley,71.51
Beau Hossler,71.53
Rafa Cabrera Bello,71.56
Richy Werenski,71.57
Martin Laird,71.58
Sean O'Hair,71.58
Rob Oppenheim,71.60
Will Gordon,71.60
Ben Martin,71.60
Josh Teater,71.61
Brandon Hagy,71.61
Michael Gligic,71.61
Austin Cook,71.62
Luke Donald,71.66
Danny Lee,71.68
Mark Anderson,71.69
Ben Taylor,71.69
Jim Herman,71.70
Hudson Swafford,71.74
Scott Brown,71.75
Byeong Hun An,71.76
Bill Haas,71.76
D.J. Trahan,71.79
Tyler Duncan,71.79
Robby Shelton,71.81
Ryan Brehm,71.81
J.J. Spaun,71.86
Xinjun Zhang,71.86
Phil Mickelson,71.90
Chris Baker,71.90
Scott Harrington,71.91
Rafael Campos,71.92
Bo Van Pelt,71.97
Andrew Landry,72.04
Fabi‡n G—mez,72.08
Cameron Champ,72.09
Jimmy Walker,72.12
"Ted Potter, Jr.",72.14
Kris Ventura,72.18
Brian Gay,72.19
Rhein Gibson,72.20
J.B. Holmes,72.21
K.J. Choi,72.30
Nelson Ledesma,72.47
Michael Gellerman,72.51
Sebastian Cappelen,72.56
Sung Kang,72.61
Nick Watney,72.79
Michael Kim,72.81
Grayson Murray,73.12
Martin Trainer,73.13
Hunter Mahan,73.20
