Name,Avg_SG_Putt,Total_SG_Putt,Measured_Rounds
Michael Kim,3.763,3.763,1
Beau Hossler,2.345,9.38,4
Matthias Schwab,1.511,3.022,2
Rory McIlroy,1.504,6.015,4
Nate Lashley,1.402,16.825,12
Harry Hall,1.329,5.315,4
Brendon Todd,1.319,7.917,6
Adam Long,1.303,10.422,8
Mackenzie Hughes,1.246,9.966,8
Grant Hirschman,1.226,4.905,4
Marc Leishman,1.181,14.167,12
Bo Hoag,1.168,2.335,2
C.T. Pan,1.139,9.109,8
Joshua Creel,1.126,4.505,4
Shane Lowry,1.086,4.343,4
Patrick Rodgers,1.076,6.457,6
Nick Watney,1.057,12.679,12
Matthew Wolff,1.001,8.009,8
Adam Schenk,0.983,9.832,10
Collin Morikawa,0.961,3.843,4
Tyrrell Hatton,0.883,3.533,4
Jim Knous,0.838,3.352,4
Jaekyeong Lee,0.833,3.33,4
Scottie Scheffler,0.807,4.842,6
Joohyung Kim,0.771,3.082,4
Paul Barjon,0.684,5.472,8
Cameron Smith,0.681,2.723,4
Corey Conners,0.68,5.437,8
Sean O'Hair,0.66,2.642,4
Peter Uihlein,0.649,2.596,4
Abraham Ancer,0.648,3.887,6
Michael Thompson,0.645,7.737,12
Trey Mullinax,0.637,6.367,10
Robert Streb,0.631,6.308,10
Lanto Griffin,0.627,6.274,10
Scott Stallings,0.615,4.919,8
Viktor Hovland,0.596,4.765,8
Jim Herman,0.59,3.539,6
Webb Simpson,0.584,5.836,10
Adam Hadwin,0.559,5.586,10
Troy Merritt,0.553,3.316,6
Harry Higgs,0.536,5.361,10
Dawie van der Walt,0.534,3.205,6
Phil Mickelson,0.529,2.116,4
Sung Kang,0.528,8.446,16
Tyler McCumber,0.525,3.149,6
Seamus Power,0.516,3.098,6
Harold Varner III,0.51,6.123,12
Curtis Thompson,0.498,2.986,6
Byeong Hun An,0.476,1.903,4
Cameron Tringale,0.473,7.562,16
Adam Scott,0.471,3.77,8
Stephan Jaeger,0.466,3.724,8
Taylor Pendrith,0.454,5.447,12
Taylor Moore,0.454,4.537,10
Brandt Snedeker,0.452,2.714,6
Matt Kuchar,0.447,3.576,8
Austin Cook,0.445,3.56,8
Kyle Reifers,0.433,1.732,4
Nick Taylor,0.428,4.275,10
Brian Gay,0.416,2.082,5
J.J. Spaun,0.403,4.032,10
Jason Kokrak,0.401,2.406,6
Seonghyeon Kim,0.392,1.568,4
Hayden Buckley,0.391,3.911,10
Brendan Steele,0.391,3.914,10
Chris Kirk,0.384,3.07,8
Paul Casey,0.363,2.18,6
Maverick McNealy,0.359,3.594,10
Vincent Whaley,0.333,2,6
Dustin Johnson,0.31,1.24,4
Kevin Na,0.306,1.833,6
Bronson Burgoon,0.297,2.379,8
Joel Dahmen,0.296,2.368,8
Mark Hubbard,0.295,2.356,8
Justin Rose,0.289,1.156,4
Tyler Duncan,0.28,1.678,6
Sungjae Im,0.268,3.216,12
Lucas Herbert,0.261,1.043,4
Seth Reeves,0.253,2.022,8
Keegan Bradley,0.249,1.494,6
Rory Sabbatini,0.24,1.438,6
Aaron Wise,0.229,2.748,12
Talor Gooch,0.225,2.7,12
Jimmy Walker,0.216,1.73,8
Kelly Kraft,0.202,1.011,5
Jared Wolfe,0.199,1.193,6
Seung-Yul Noh,0.185,0.925,5
Hank Lebioda,0.182,0.727,4
Brandon Wu,0.177,1.063,6
Brandon Hagy,0.169,1.69,10
Kevin Streelman,0.157,1.879,12
Garrick Higgo,0.149,0.298,2
Minkyu Kim,0.144,0.577,4
Chesson Hadley,0.135,1.349,10
Martin Laird,0.117,0.701,6
William McGirt,0.108,0.862,8
Max Homa,0.108,0.866,8
Brian Harman,0.106,0.637,6
Cameron Young,0.099,0.795,8
Quade Cummins,0.091,0.547,6
Kevin Kisner,0.089,0.532,6
Andrew Landry,0.087,0.697,8
Roger Sloan,0.059,0.474,8
Alex Noren,0.037,0.146,4
Wyndham Clark,0.03,0.295,10
K.H. Lee,0.021,0.211,10
Jordan Spieth,0.017,0.066,4
Max McGreevy,0.01,0.041,4
Jason Day,0.007,0.029,4
Xander Schauffele,0.005,0.02,4
Charles Howell III,0.003,0.02,6
John Huh,0.001,0.006,6
Kevin Yu,-0.001,-0.009,6
Doc Redman,-0.002,-0.013,8
Jonathan Byrd,-0.002,-0.005,2
Camilo Villegas,-0.004,-0.021,6
