Name,StrkGAppAvg,Total_SG_APP
Russell Henley,1.56,12.48
Mito Pereira,1.422,17.059
Sam Burns,1.276,15.311
Collin Morikawa,1.232,4.93
Matthew NeSmith,1.175,11.747
Talor Gooch,1.127,13.528
Adam Scott,1.102,8.812
Henrik Norlander,1.051,8.408
Chez Reavie,1.044,8.354
Tom Hoge,0.988,13.831
C.T. Pan,0.955,7.642
Harris English,0.927,4.636
Chase Seiffert,0.92,3.68
Justin Thomas,0.913,3.651
Chad Ramey,0.884,8.838
Kyle Stanley,0.803,3.212
Jimmy Walker,0.777,6.216
Nick Hardy,0.77,6.163
James Hahn,0.759,3.037
Adam Schenk,0.759,7.594
Troy Merritt,0.731,4.388
Xander Schauffele,0.731,2.925
Carlos Ortiz,0.712,7.124
Seung-Yul Noh,0.704,3.522
Will Zalatoris,0.698,6.983
Ben Martin,0.692,1.385
John Augenstein,0.688,4.126
Matt Wallace,0.675,4.047
Matthew Wolff,0.67,5.358
Hank Lebioda,0.655,2.622
Michael Gligic,0.649,3.891
Kurt Kitayama,0.633,3.799
Hideki Matsuyama,0.631,7.567
Hayden Buckley,0.621,6.21
Tony Finau,0.618,2.474
Peter Malnati,0.602,6.016
Scott Gutschewski,0.572,3.431
Cameron Smith,0.565,2.262
Martin Laird,0.56,3.358
Joseph Bramlett,0.555,5.551
Viktor Hovland,0.553,4.425
Adam Hadwin,0.546,5.462
Ryan Moore,0.538,4.303
Joel Dahmen,0.536,4.289
Mark Hubbard,0.535,4.279
Louis Oosthuizen,0.528,4.225
Andrew Putnam,0.514,5.139
Max McGreevy,0.509,2.034
Jason Dufner,0.509,2.035
Aaron Baddeley,0.506,2.024
K.H. Lee,0.49,4.898
Seonghyeon Kim,0.482,1.927
Sahith Theegala,0.469,4.69
Lucas Glover,0.468,5.618
Stewart Cink,0.464,2.782
Andy Ogletree,0.461,1.844
Tyrrell Hatton,0.453,1.814
Doug Ghim,0.452,4.524
Marc Leishman,0.452,5.419
Davis Riley,0.45,3.599
Jhonattan Vegas,0.447,1.787
Harold Varner III,0.442,5.298
Aaron Wise,0.426,5.107
Hudson Swafford,0.416,4.996
Sam Ryder,0.415,4.147
Luke List,0.382,3.824
Lanto Griffin,0.372,3.719
Seamus Power,0.363,2.178
Vaughn Taylor,0.332,1.327
Dawie van der Walt,0.329,1.972
Emiliano Grillo,0.313,4.384
Kyle Reifers,0.29,1.16
Russell Knox,0.287,2.865
Chris Kirk,0.262,2.096
Harry Higgs,0.248,2.476
Sung Kang,0.229,3.67
Kevin Streelman,0.225,2.694
Garrick Higgo,0.218,0.436
Gary Woodland,0.21,1.258
Aaron Rai,0.208,1.247
Tyler Duncan,0.204,1.225
Davis Thompson,0.161,0.644
Jim Herman,0.152,0.909
Bronson Burgoon,0.148,1.187
Nick Watney,0.147,1.759
Byeong Hun An,0.146,0.583
Camilo Villegas,0.145,0.869
Paul Casey,0.144,0.864
David Skinns,0.142,0.849
Sungjae Im,0.14,1.684
Rory Sabbatini,0.126,0.758
Alex Smalley,0.119,1.191
Joaquin Niemann,0.118,0.942
Maverick McNealy,0.118,1.183
J.T. Poston,0.102,0.61
Pat Perez,0.102,0.305
Cameron Tringale,0.077,1.239
Chris Stroud,0.074,0.149
Seth Reeves,0.058,0.465
Brice Garnett,0.057,0.457
Trey Mullinax,0.052,0.524
William McGirt,0.04,0.324
Robert Streb,0.033,0.333
Austin Smotherman,0.033,0.131
Si Woo Kim,0.027,0.383
Rickie Fowler,0.021,0.127
Eugenio Lopez-Chacarra,0.017,0.067
Scott Piercy,0.014,0.112
Chesson Hadley,0.002,0.018
Matthias Schwab,0.001,0.002
Max Homa,-0.002,-0.016
David Lipsky,-0.009,-0.056
Minkyu Kim,-0.011,-0.044
Bo Van Pelt,-0.019,-0.077
Grant Hirschman,-0.027,-0.108
Matt Jones,-0.033,-0.261
Jason Kokrak,-0.037,-0.221
Cameron Percy,-0.039,-0.157
Phil Mickelson,-0.041,-0.165
Charley Hoffman,-0.054,-0.861
Dustin Johnson,-0.057,-0.226
Brendan Steele,-0.065,-0.655
Matt Kuchar,-0.073,-0.584
Jonathan Byrd,-0.075,-0.15
Roger Sloan,-0.076,-0.605
Callum Tarren,-0.082,-0.33
Erik van Rooyen,-0.087,-0.524
Lee Hodges,-0.087,-0.867
Brendon Todd,-0.092,-0.553
Justin Suh,-0.095,-0.379
John Huh,-0.096,-0.577
Sergio Garcia,-0.102,-0.614
Scott Stallings,-0.105,-0.841
Keegan Bradley,-0.109,-0.652
Joohyung Kim,-0.117,-0.469
Kevin Yu,-0.118,-0.71
Denny McCarthy,-0.122,-0.977
Scottie Scheffler,-0.134,-0.805
Nate Lashley,-0.147,-1.764
Greyson Sigg,-0.168,-1.675
Branden Grace,-0.185,-0.741
Andrew Novak,-0.19,-1.14
Jason Day,-0.202,-0.809
Tommy Fleetwood,-0.22,-0.878
Dylan Wu,-0.22,-1.322
Keith Mitchell,-0.226,-1.808
Dylan Frittelli,-0.239,-1.908
Ian Poulter,-0.243,-1.46
Adam Long,-0.244,-1.953
Stephan Jaeger,-0.257,-2.058
Brandt Snedeker,-0.262,-1.572
Doc Redman,-0.265,-2.119
Paul Barjon,-0.271,-2.171
Adam Svensson,-0.287,-2.295
Brian Stuard,-0.292,-1.751
Danny Willett,-0.292,-1.753
Bo Hoag,-0.299,-0.597
Webb Simpson,-0.308,-3.075
Taylor Moore,-0.329,-3.287
Justin Rose,-0.335,-1.34
Brandon Wu,-0.346,-2.075
Harry Hall,-0.364,-1.457
Ryan Armour,-0.365,-2.19
Shane Lowry,-0.371,-1.484
Cam Davis,-0.386,-3.859
Patton Kizzire,-0.391,-4.692
Kramer Hickok,-0.415,-1.659
Scott Brown,-0.419,-0.837
Patrick Rodgers,-0.424,-2.543
Brooks Koepka,-0.431,-3.447
Corey Conners,-0.435,-3.484
Austin Cook,-0.44,-3.519
Beau Hossler,-0.443,-1.772
Charl Schwartzel,-0.453,-2.72
Joshua Creel,-0.463,-1.851
Cameron Young,-0.471,-3.764
Jordan Spieth,-0.476,-1.903
Mackenzie Hughes,-0.48,-3.843
Jim Knous,-0.512,-2.049
Ben Kohles,-0.516,-2.065
Danny Lee,-0.534,-1.068
Anirban Lahiri,-0.537,-3.225
Abraham Ancer,-0.538,-3.226
J.J. Spaun,-0.561,-5.61
Rasmus Hojgaard,-0.565,-3.39
Wyndham Clark,-0.579,-5.793
Charles Howell III,-0.642,-3.852
Vincent Whaley,-0.651,-3.907
Sepp Straka,-0.672,-4.034
Ryan Palmer,-0.679,-1.358
Michael Thompson,-0.682,-8.186
Tyler McCumber,-0.698,-4.186
Martin Trainer,-0.712,-4.274
Kevin Na,-0.716,-4.297
Andrew Landry,-0.721,-5.769
Brian Harman,-0.736,-4.417
Quade Cummins,-0.749,-4.496
Peter Uihlein,-0.772,-3.09
Bill Haas,-0.775,-6.203
Kiradech Aphibarnrat,-0.781,-3.123
Sebasti‡n Mu–oz,-0.797,-7.966
Brett Drewitt,-0.818,-3.271
Taylor Pendrith,-0.86,-10.318
Hanbyeol Kim,-0.874,-3.494
Brandon Hagy,-0.894,-8.939
Rory McIlroy,-0.895,-3.578
Kevin Kisner,-0.923,-5.537
Graeme McDowell,-0.964,-3.858
Kelly Kraft,-0.964,-4.822
Sean O'Hair,-0.995,-3.981
Richy Werenski,-1.038,-6.229
Alex Noren,-1.039,-4.156
Yoseop Seo,-1.04,-4.158
Patrick Reed,-1.062,-6.374
Brian Gay,-1.094,-5.471
Nick Taylor,-1.118,-11.184
David Hearn,-1.129,-2.257
Francesco Molinari,-1.155,-4.619
Curtis Thompson,-1.157,-6.943
Kevin Tway,-1.158,-9.266
"Ted Potter, Jr.",-1.216,-2.431
Zach Johnson,-1.238,-4.951
Kevin Chappell,-1.317,-7.899
Jared Wolfe,-1.407,-8.444
Jonas Blixt,-1.533,-12.265
Michael Kim,-1.743,-1.743
Justin Lower,-1.756,-3.512
Kevin Stadler,-1.834,-7.336
Lucas Herbert,-1.85,-7.402
Jaekyeong Lee,-1.912,-7.648
Sanghun Shin,-1.913,-7.651
