Name,StkGAvg,TotalSG,TotalSGTG,TotalSGPutt,Measured_Rounds
Rory McIlroy,2.683,10.732,4.717,6.015,4
Collin Morikawa,2.433,9.732,5.889,3.843,4
Matthew Wolff,2.355,18.843,10.833,8.009,8
Harry Hall,2.251,9.002,3.686,5.315,4
Sam Burns,2.215,26.575,27.773,-1.199,12
C.T. Pan,2.194,17.552,8.442,9.109,8
Sungjae Im,2.131,25.575,22.358,3.216,12
Talor Gooch,2.12,25.445,22.745,2.7,12
Jim Knous,1.928,7.711,4.359,3.352,4
Marc Leishman,1.87,22.445,8.278,14.167,12
Hayden Buckley,1.828,18.282,14.37,3.911,10
Aaron Wise,1.798,21.575,18.826,2.748,12
Rory Sabbatini,1.719,10.314,8.875,1.438,6
Grant Hirschman,1.71,6.841,1.935,4.905,4
Beau Hossler,1.678,6.711,-2.669,9.38,4
Patrick Rodgers,1.504,9.023,2.565,6.457,6
Mito Pereira,1.463,17.554,25.721,-8.168,12
Harold Varner III,1.44,17.284,11.16,6.123,12
Cameron Smith,1.433,5.732,3.009,2.723,4
Maverick McNealy,1.4,13.995,10.401,3.594,10
Martin Laird,1.386,8.314,7.612,0.701,6
Tyler Duncan,1.38,8.28,6.601,1.678,6
Nate Lashley,1.38,16.554,-0.272,16.825,12
Will Zalatoris,1.31,13.104,13.252,-0.149,10
Adam Scott,1.217,9.734,5.964,3.77,8
Rickie Fowler,1.214,7.284,8.095,-0.811,6
Nick Watney,1.213,14.554,1.874,12.679,12
Jhonattan Vegas,1.183,4.732,5.123,-0.391,4
Corey Conners,1.105,8.843,3.405,5.437,8
Adam Schenk,1.103,11.025,1.191,9.832,10
Russell Henley,1.092,8.734,15.143,-6.409,8
Danny Willett,1.074,6.441,6.701,-0.261,6
Nick Hardy,1.069,8.552,8.753,-0.202,8
Trey Mullinax,1.028,10.282,3.914,6.367,10
Adam Hadwin,1.028,10.282,4.695,5.586,10
Sahith Theegala,1.01,10.104,14.614,-4.511,10
Gary Woodland,1.007,6.044,6.869,-0.825,6
Dawie van der Walt,1.004,6.023,2.817,3.205,6
Henrik Norlander,0.98,7.843,9.675,-1.833,8
Louis Oosthuizen,0.967,7.734,13.803,-6.069,8
